##########################################################################
       Name: Placement Bill of Materials Generator

    Version: 4 (2-sided, top)
         By: Small Batch Assembly
        URL: www.smallbatchassembly.com
 SourceFile: femtoBeacon_r2.0.7_RGB_OTG.brd
   DateTime: 11/24/17 7:52 PM
      Units: inches
##########################################################################
REF,PACKAGE,VALUE,X,Y,ROTATION,
ANT_SMD   , 0479480001            , 0479480001     , 0.2137, 0.5543, 180.0
BALUN   , 0805_BALUN            , JOHANSON_2450BM15A0015E     , 0.3937, 0.5770, 270.0
BTN   , SPST_SMD            , DNP     , 0.8398, 0.3440, 270.0
C1   , PART            , 0.1uF     , 0.7968, 0.3190, 270.0
C2   , PART            , 0.1uF     , 0.6077, 0.4490, 0.0
C5   , _0402MP            , 2.2uF     , 0.7167, 0.3200, 180.0
C6   , _0402MP            , 2.2uF     , 0.5987, 0.3510, 180.0
C7   , PART            , 0.47uF     , 0.6047, 0.2910, 180.0
C8   , PART            , 0.1uF     , 0.7687, 0.7430, 180.0
C9   , PART            , 0.1uF     , 0.7318, 0.6870, 0.0
C10   , PART            , 0.1uF     , 0.5397, 0.3240, 180.0
C11   , _0402MP            , 1.2pF     , 0.3850, 0.4650, 0.0
C12   , PART            , 22pF     , 0.3937, 0.6550, 180.0
C13   , PART            , DNP     , 0.3900, 0.4350, 0.0
C14   , PART            , 9pF     , 0.5277, 0.7920, 270.0
C15   , PART            , 9pF     , 0.7167, 0.7550, 270.0
C16   , PART            , 0.1uF     , 0.6067, 0.3975, 0.0
C17   , PART            , 0.1uF     , 0.7587, 0.7160, 180.0
C21   , _0402MP            , 10uF     , 0.4267, 0.7890, 180.0
C22   , _0402MP            , 10uF     , 0.4667, 0.7560, 0.0
C31   , PART            , 10nF     , 0.5357, 0.2940, 0.0
FB1   , _0603MP            , Ferrite     , 0.7347, 0.3970, 180.0
FID1   , FIDUCIAL_1MM            , FIDUCIAL     , 0.1000, 0.3000, 0.0
FID2   , FIDUCIAL_1MM            , FIDUCIAL     , 0.1000, 0.8000, 0.0
FID3   , FIDUCIAL_1MM            , FIDUCIAL     , 1.2000, 0.8000, 0.0
IC   , QFN32            , ATSAMR21E18A-MUT     , 0.5861, 0.5907, 270.0
L1   , _0603MP            , 1.8nH     , 0.3300, 0.4650, 270.0
L6   , _0603MP            , 10uH     , 0.4317, 0.7190, 0.0
LDO_VREG   , MCP1700T-3302E/TT            , MCP1700T-3302E/TT     , 0.6581, 0.3211, 90.0
R1   , PART            , 330     , 0.7767, 0.3600, 180.0
R2   , PART            , 10K     , 0.7637, 0.3190, 270.0
R4   , PART            , 330     , 0.7760, 0.7880, 0.0
R5   , PART            , 330     , 0.7350, 0.5600, 0.0
R6   , PART            , 330     , 0.7700, 0.8150, 0.0
R7   , PART            , 330     , 0.7800, 0.8450, 0.0
R10   , PART            , 100K     , 0.7750, 0.6140, 90.0
RGBLED   , LRTB_R48G            , LRTB_R48G     , 0.8300, 0.7950, 270.0
USB   , USB_MICROB_PACKAGE            , USB_MICROB     , 0.8764, 0.5550, 90.0
XOSCRF   , TSX-3225            , 16MHz     , 0.6240, 0.7825, 0.0
